Architecture,Application Type,Development Type,Development Platform,Language Type,Relative Size,Used Methodology,Agile Method Used,Resource Level,Package Customisation,Industry Sector,Effort,Project Elapsed Time,Project Inactive Time,Duration
Stand alone,Transaction/Production System ,New Development,MR,4GL,M1,No,,1,No,Service Industry,1850,6,0,6
Multi-tier / Client server,Stock control & order processing ,New Development,Multi,4GL,M2,Don't Know,,1,No,Construction,856,2.6,0,2.6
,Billing ,Enhancement,,3GL,S,Yes,,1,,Wholesale & Retail,1100,,,
Client server,,Enhancement,,,XXS,,,1,,,28,,0,
Client server,Management Information System ,Enhancement,MF,3GL,M2,Yes,,4,No,Wholesale & Retail,23913,3,,3
,Sales contact management ,New Development,MF,3GL,M2,Don't Know,,1,No,Insurance,18160,7,0,7
,Financial transaction process/accounting ,New Development,MF,3GL,M1,,,1,,Banking,8186,,,0
Multi-tier / Client server,Financial transaction process/accounting ,New Development,Multi,4GL,M1,Don't Know,,1,No,Banking,596,2.6,0,2.6
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,92380,20,,20
,Management Information System Linguistic Software ,New Development,PC,,M1,,,4,,Electronics & Computers,568,2.8,0.3,2.8
Stand alone,Transaction/Production System ,Enhancement,,4GL,M1,Yes,,1,,Communication,327,4,,4
,Stock control & order processing ,Enhancement,MF,3GL,M2,Yes,,1,,Wholesale & Retail,20975,,,0
,Trading ,Enhancement,,,M1,Yes,,1,,Professional Services,789,,,0
Stand alone,Management Information System ,Enhancement,MR,4GL,M1,No,,1,No,Manufacturing,2753,5,0,5
,Voice Provisioning ,Enhancement,,3GL,M1,Yes,,1,,Communication,7290,,,0
,Customer billing/relationship management ,New Development,,3GL,M2,Yes,,1,,Service Industry,7936,15,1,15
Stand alone,,Enhancement,MF,3GL,M2,Yes,,1,,Insurance,4321,15.2,0.17,15.2
Multi-tier / Client server,Customer billing/relationship management ,New Development,Multi,4GL,M2,Don't Know,,1,No,Manufacturing,2499,5.3,0,5.3
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,3444,12,,12
,Financial transaction process/accounting ,Enhancement,PC,3GL,M1,,,1,,Banking,1402,5.1,,5.1
,,Enhancement,,3GL,,Yes,,1,,Financial,60838,9,0,9
,Data Warehouse system ,Enhancement,,3GL,M2,,,1,,Communication,366,3.1,,3.1
,,Enhancement,,,M2,Don't Know,,1,Don't Know,,2253,4,0,4
Stand alone,Office Information System ,New Development,PC,4GL,L,Yes,,4,No,Financial,7490,4,,4
,,New Development,MF,3GL,S,Yes,,1,,Insurance,507,17,,17
Client server,,Enhancement,,4GL,S,,,1,,,1009,1.8,0,1.8
Client server,,Enhancement,MR,4GL,M2,,,1,,Electronics & Computers,9205,7,,7
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,L,Yes,,1,,Financial,2525,8.4,0,8.4
,,New Development,Multi,ApG,M2,Yes,,1,,Insurance,150,5,1,5
,,Enhancement,Multi,4GL,XS,Yes,,1,,Insurance,134,3,,3
Client server,,Enhancement,,4GL,XXS,,,1,,,396,1.9,0,1.9
Client server,Management Information System ,Enhancement,MR,,M2,Yes,,4,No,,33387,,,0
Client server,Cars selling ,Enhancement,MR,3GL,M1,Yes,,3,No,Manufacturing,3480,3.2,,3.2
Client server,Transaction/Production System ,Enhancement,,4GL,M1,Yes,,1,,Communication,9375,3,,3
Multi-tier / Client server,Financial application area ,New Development,Multi,4GL,S,Yes,,1,,,855,4.5,,4.5
Multi-tier,Transaction/Production System ,Enhancement,MF,3GL,S,Yes,,1,No,,3199,13.7,0,13.7
Client server,Electronic Data Interchange ,New Development,MF,3GL,M1,Yes,,1,,Government,3249,8,,8
